"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2017068053","1","1","1","8","99","12","01","0","50","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068053","2","1","1","8","99","12","01","0","33","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068053","2","3","2","8","03","12","04","0","4","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068060","1","1","1","0","99","99","01","0","24","M","0","0","N","NJ","9","  "," "," ","2017","67","Philadelphia","67301"
"2017068081","1","11","1","0","00","00","01","0","56","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068081","2","2","2","0","01","01","03","0","33","M","0","0","N","NJ","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068081","2","3","2","4","01","01","06","0","29","F","0","0","Y","NJ","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068081","2","4","2","4","01","01","04","0","8","F","0","0","Y","NJ","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068081","2","22","1","0","00","00","01","0","42","M","0","0"," ","NJ","0","  "," "," ","2017","67","Philadelphia","67301"
"2017056450","1","1","1","0","00","00","01","0","99","U","0","0"," ","  ","9","  "," "," ","2017","67","Philadelphia","67301"
"2017056450","2","1","1","0","01","00","01","1","50","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133954","1","1","1","0","00","00","01","0","30","F","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133954","2","1","1","0","03","04","01","0","44","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133954","2","2","2","8","04","04","05","0","1","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133955","1","1","1","9","99","99","01","1","30","M","0","3","N","PA","2","  "," "," ","2017","67","Philadelphia","67301"
"2017133955","2","1","2","4","99","99","15","1","99","F","0","1","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133955","2","11","1","0","00","00","01","0","25","F","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133991","1","1","1","0","03","00","01","0","29","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133991","1","2","2","0","03","00","06","0","1","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133991","2","1","1","4","00","00","01","0","35","F","0","0","N","  ","0","  "," "," ","2017","67","Philadelphia","67301"
