"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_NAME","MUNICIPALITY"
"67","2017","2017068018","02","","W","7","4","","","35","63RD ST","Philadelphia","67301"
"67","2017","2017068018","2 ","0","W","6","2","3025","0011","35","LINDBERGH BL","Philadelphia","67301"
"67","2017","2017068082","2 ","500","N","3","2","2009","0080","30","ARAMINGO AV","Philadelphia","67301"
"67","2017","2017097826","2 ","283","S","3","2","1001","0110","35","VERREE RD","Philadelphia","67301"
"67","2017","2017097843","02","","W","3","4","","","25","BELLS MILL RD","Philadelphia","67301"
"67","2017","2017097846","01","","W","3","4","","","25","HUNTINGDON ST","Philadelphia","67301"
"67","2017","2017097846","02","","N","4","4","","","25","FRONT ST","Philadelphia","67301"
"67","2017","2017097856","2 ","1328","W","3","2","0073","0031","30","COTTMAN AV","Philadelphia","67301"
"67","2017","2017097882","3 ","1151","E","3","2","0003","0090","35","CHESTNUT ST","Philadelphia","67301"
"67","2017","2017106912","4 ","1774","S","3","1","0095","0191","55","DELAWARE EX","Philadelphia","67301"
"67","2017","2017014060","02","","S","4","4","","","25","6TH ST","Philadelphia","67301"
"67","2017","2017014060","02","","W","3","4","","","25","LOMBARD ST","Philadelphia","67301"
"67","2017","2017014075","02","","E","3","4","","","25","SHEFFIELD AV","Philadelphia","67301"
"67","2017","2017014075","01","","S","4","4","","","25","COTTAGE ST","Philadelphia","67301"
"67","2017","2017091831","2 ","2183","S","3","2","1013","0051","30","ACADEMY RD","Philadelphia","67301"
"67","2017","2017086942","02","","W","5","4","","","25","SPENCER ST","Philadelphia","67301"
"67","2017","2017086942","2 ","1618","N","3","2","0611","0170","30","BROAD ST","Philadelphia","67301"
"67","2017","2017086942","2 ","1615","S","4","2","0611","0171","30","BROAD ST","Philadelphia","67301"
"67","2017","2017086951","2 ","2556","E","3","2","0291","0060","45","PENROSE AV","Philadelphia","67301"
"67","2017","2017086965","01","","N","3","4","","","25","ABBOTTSFORD AV","Philadelphia","67301"
"67","2017","2017086968","01","","N","4","4","","","35","N 23RD ST","Philadelphia","67301"
"67","2017","2017086968","02","","E","3","4","","","25","DIAMOND ST","Philadelphia","67301"
"67","2017","2017110377","3 ","2455","E","3","1","0676","0004","55","VINE STREET EX","Philadelphia","67301"
"67","2017","2017066437","4 ","1602","N","3","1","0095","0224","55","DELAWARE EX","Philadelphia","67301"
"67","2017","2017060463","2 ","954","N","3","2","3017","0050","35","FIFTYSECOND ST","Philadelphia","67301"
"67","2017","2017060504","02","","E","4","4","","","30","HORNIG RD","Philadelphia","67301"
"67","2017","2017060504","3 ","2270","S","3","2","6001","0371","45","ROOSEVELT BL","Philadelphia","67301"
"67","2017","2017060540","2 ","0","S","3","2","3041","0010","25","THIRTYTHIRD ST","Philadelphia","67301"
"67","2017","2017060540","02","","S","5","4","","","25","POPLAR DR","Philadelphia","67301"
"67","2017","2017060540","02","509","E","4","2","2008","0002","25","GIRARD AV","Philadelphia","67301"
"67","2017","2017080825","02","","W","3","4","","","35","BEN FRANKLIN BR","Philadelphia","67301"
"67","2017","2017028782","02","","S","5","4","","","25","LANSDOWNE AV","Philadelphia","67301"
"67","2017","2017028782","2 ","0","S","4","2","3015","0111","25","SIXTYTHIRD ST","Philadelphia","67301"
"67","2017","2017028782","2 ","0","N","3","2","3015","0110","25","SIXTYTHIRD ST","Philadelphia","67301"
"67","2017","2017028806","2 ","1374","S","4","2","0013","0241","30","FRANKFORD AV","Philadelphia","67301"
"67","2017","2017028806","2 ","2299","W","6","2","0073","0061","30","COTTMAN AV","Philadelphia","67301"
"67","2017","2017028806","02","","E","7","4","","","25","RYAN AV","Philadelphia","67301"
"67","2017","2017028806","2 ","1374","N","3","2","0013","0240","30","FRANKFORD AV","Philadelphia","67301"
"67","2017","2017028806","2 ","2285","E","5","2","0073","0060","30","COTTMAN AV","Philadelphia","67301"
"67","2017","2017028921","02","","U","4","4","","","25","SOMERSET ST","Philadelphia","67301"
"67","2017","2017028921","02","0","U","3","2","2007","0070","25","FRANKFORD AV","Philadelphia","67301"
"67","2017","2017028931","02","2523","S","5","2","8047","0250","25","RAMP H RD","Philadelphia","67301"
"67","2017","2017028931","2 ","0","W","4","2","0291","0017","40","BARTRAM AV","Philadelphia","67301"
"67","2017","2017028931","2 ","0","E","3","2","0291","0016","40","BARTRAM AV","Philadelphia","67301"
"67","2017","2017028954","3 ","1445","N","3","1","0095","0270","55","DELAWARE EX","Philadelphia","67301"
"67","2017","2017028970","2 ","564","W","4","2","0073","0061","30","COTTMAN AV","Philadelphia","67301"
"67","2017","2017028970","02","","N","5","4","","","25","ROWLAND AV","Philadelphia","67301"
"67","2017","2017028970","2 ","562","E","3","2","0073","0060","30","COTTMAN AV","Philadelphia","67301"
"67","2017","2017028974","02","","N","4","4","","","30","ARDLEIGH ST","Philadelphia","67301"
"67","2017","2017028974","2 ","1452","E","3","2","4019","0030","25","WASHINGTON LN","Philadelphia","67301"
"67","2017","2017041123","02","352","N","3","2","0611","0090","30","BROAD ST","Philadelphia","67301"
"67","2017","2017041129","01","","N","3","4","","","25","STEVENS RD","Philadelphia","67301"
"67","2017","2017041150","03","2462","N","3","2","0001","0380","45","ROOSEVELT BL","Philadelphia","67301"
"67","2017","2017041171","2 ","3150","N","3","2","0001","0070","35","CITY AV","Philadelphia","67301"
"67","2017","2017041181","2 ","2430","S","3","2","2001","0190","25","RICHMOND ST","Philadelphia","67301"
"67","2017","2017041205","02","","W","5","4","","","25","WOOD ST","Philadelphia","67301"
"67","2017","2017041205","3 ","391","S","4","2","0611","0021","30","BROAD ST","Philadelphia","67301"
"67","2017","2017041205","3 ","389","N","3","2","0611","0020","30","BROAD ST","Philadelphia","67301"
"67","2017","2017041215","2 ","1166","N","3","2","0611","0150","30","BROAD ST","Philadelphia","67301"
"67","2017","2017041283","02","","S","3","4","","","25","FOX ST","Philadelphia","67301"
"67","2017","2017060576","2 ","1105","S","4","2","0611","0141","30","BROAD ST","Philadelphia","67301"
"67","2017","2017060576","02","","U","5","4","","","25","RUSCOMB ST","Philadelphia","67301"
"67","2017","2017060576","2 ","1105","N","3","2","0611","0140","30","BROAD ST","Philadelphia","67301"
"67","2017","2017060591","4 ","907","S","4","2","2001","0121","30","DELAWARE AV","Philadelphia","67301"
"67","2017","2017060591","02","","E","6","4","","","25","LAUREL ST","Philadelphia","67301"
"67","2017","2017060591","3 ","907","N","3","2","2001","0120","30","DELAWARE AV","Philadelphia","67301"
"67","2017","2017060591","2 ","0","E","5","2","2007","0010","25","FRANKFORD AV","Philadelphia","67301"
"67","2017","2017060613","2 ","255","S","3","2","3011","0050","25","TWENTYNINTH ST","Philadelphia","67301"
"67","2017","2017060633","02","","S","4","4","","","25","C ST","Philadelphia","67301"
"67","2017","2017060633","03","0","N","3","2","6001","0190","40","ROOSEVELT BL","Philadelphia","67301"
"67","2017","2017060662","02","","E","5","4","","","25","BELLS MILL RD","Philadelphia","67301"
"67","2017","2017060662","02","","E","6","4","","","25","SPRING LN","Philadelphia","67301"
"67","2017","2017060662","3 ","862","S","4","2","3009","0201","35","RIDGE AV","Philadelphia","67301"
"67","2017","2017060662","2 ","884","N","3","2","3009","0200","35","RIDGE AV","Philadelphia","67301"
"67","2017","2017060729","02","","E","4","4","","","25","FAUNCE ST","Philadelphia","67301"
"67","2017","2017060729","02","","N","3","4","","","25","WHITAKER AV","Philadelphia","67301"
"67","2017","2017060743","02","590","E","3","2","1018","0060","45","GRANT AV","Philadelphia","67301"
"67","2017","2017013197","01","","E","4","4","","","","ONTARIO ST","Philadelphia","67301"
"67","2017","2017013197","2 ","1142","N","3","2","1003","0010","25","B ST","Philadelphia","67301"
