"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_NAME","COUNTY","MUNICIPALITY"
"05","1","2","3970 MAGNOLIA LEAF LANE","","SUWANEE","GA","30024","ALFARO TRANSPORTATION LLC","7045163499","2017","2017035895","017500","","","","","N","","","","","","N","","02834022","08","Philadelphia","67","67301"
"02","1","1","12-1 S BACTON HILL RD","","MALVERN","PA","193551576","RUSSELL SYSTEMS INC","3023845477","2017","2017036385","019500","","","","","N","","","","","","N","","01742181","03","Philadelphia","67","67301"
"99","1","2","1015 E DIAMOND STREET","","HAZLE TOWNSHIP","PA","18201","VIRA TRUCKING CO","7173338947","2017","2017037054","080000","","","","","N","","","","","","U","","02292378","09","Philadelphia","67","67301"
"05","2","2","4985 LANCASTER AVE","","PHILADELPHIA","PA","19131","PHOENIX ENERGY GROUP","2158799522","2017","2017037187","068000","","","","","N","","","","","","N","","00957345","08","Philadelphia","67","67301"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2017","2017037346","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","9","2","W CLEARFIELD","","PHILA","PA","19133","GONZALEZ","9999999999","2017","2017037347","999999","","","","","N","","","","","","N","","","08","Philadelphia","67","67301"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2017","2017037351","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","8","2","7700 STATE RD","","PHILA","PA","19136","YELLOWBIRD BUS CO","9999999999","2017","2017037357","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"01","8","1","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","2155805309","2017","2017037390","999999","","","","","N","","","","","","N","","","11","Philadelphia","67","67301"
"99","9","2","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2017","2017037422","999999","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","1","1","350 COUNTY RD","","JERSEY CITY","NJ","07307","GOYA FOODS INC","9999999999","2017","2017037440","999999","","","","","N","","","","","","N","","00023451","08","Philadelphia","67","67301"
"99","9","2","100 S BROAD ST3RD FL","","PHILA","PA","19110","CITY OF PHILA","9999999999","2017","2017037489","035000","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","1","2","401 DOMINO LN","","WAYNE","PA","19087","PENN DISTRIBUTOR","9999999999","2017","2017037528","033000","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","1","1592 RTE 38","","MT HOLLY","NJ","08060","MILLER AUTO LEASING","9999999999","2017","2017037533","999999","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","1","100 S BROAD ST","","PHILA","PA","19110","OFFICE OF FLEET MANAGEMENT","9999999999","2017","2017037536","058350","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"04","4","2","239 SPLIT RAIL COURT","","DELRAN","NJ","08075","HAKAN YILMAZ TRUCKING","6093519580","2017","2017037958","080000","","","","","N","","","","","","N","","00999999","09","Philadelphia","67","67301"
"01","4","2","SWEDE ROAD AND JOHNSON","","NORRISTOWN","PA","19404","PENNDOT","6102752368","2017","2017038006","026000","","","","","N","","","","","","N","","02352072","09","Philadelphia","67","67301"
"05","3","3","336 NORTH 2ND ST FL2","","E NEWARK","NJ","07029","BIG FIELD TRUCKING","9734936120","2017","2017038022","080000","","","","","N","","","","","","N","","02178179","08","Philadelphia","67","67301"
"99","1","1","3663 CLAY AVENUE SW #61","","GRAND RAPIDS","MI","49548","RYDER RENTAL","8889979337","2017","2017038179","050000","","","","","N","","","","","","U","","01413572","09","Philadelphia","67","67301"
"03","9","1","10364 BENNETT PARKWAY","","ZIONSVILLE","IN","46077","MARTEN TRANSPORT LTD","8016833560","2017","2017038517","018000","","","","","N","","","","","","N","","00074432","08","Philadelphia","67","67301"
"05","1","2","173 BLACK HORSE PIKE","","BLACKWOOD","NJ","08012","S I TRANSPORT SOLUTIONS","8562648783","2017","2017038893","080000","","","","","N","","","","","","N","","02958079","08","Philadelphia","67","67301"
