"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2007116619","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007116658","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007116667","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007116668","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007116671","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007116672","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082534","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082571","2","Y","Y","U","Y","1","Y","Y","Y","Y","00900","U","Y","1","Y","Y","Y","Y","Y","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082575","1","U","U","U","U","0","","","Y","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082577","1","U","U","Y","N","0","","","Y","N","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082593","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082892","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082935","1","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2008000026","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2008000438","2","","","","","","","","","","","","","","","","","","","","U","U","N","Y","2007","67","CYCLE_2007_Philadelphia","67301"
"2008000673","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2008003752","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","U","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2008003913","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2008004125","2","U","U","U","Y","1","U","U","U","U","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2008004852","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2008005956","2","U","U","U","N","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2008005973","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2008006002","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2008006253","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2008006261","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2008006450","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2008006466","1","Y","N","U","U","0","N","N","Y","Y","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2008006468","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2008006613","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2007","67","CYCLE_2007_Philadelphia","67301"
"2007070124","2","Y","Y","Y","Y","2","Y","Y","Y","Y","01440","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007071348","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007071386","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2012030709","1","U","U","Y","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007120850","1","N","N","N","N","0","","","Y","N","00090","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007120853","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2007","67","CYCLE_2007_Philadelphia","67301"
"2007120878","1","U","U","U","Y","1","U","U","N","N","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007120901","1","U","Y","U","N","0","","","Y","N","00080","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007120913","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007120919","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007120953","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007123744","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007123784","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007123803","1","U","U","U","Y","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007123815","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007123816","2","","","","","","","","","","","","","","","","","","","","N","U","N","Y","2007","67","CYCLE_2007_Philadelphia","67301"
"2007123829","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007123954","1","U","U","U","Y","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007124092","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007124096","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007124101","1","N","N","N","N","0","N","N","Y","Y","01800","N","Y","1","Y","Y","Y","Y","Y","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007124107","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007124134","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007124137","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007124145","2","U","U","U","Y","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007124154","1","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007124663","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007124689","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007125116","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007125121","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007126099","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007126122","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007126124","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
