X,Y,recordnum,takenby,comments,setdate,setyear,mcd,route,road,cntdir,fromlmt,tolmt,type,latitude,longitude,factor,axle,outdir,indir,aadb,program,bikepedgroup,bikepedfacility,co_name,mun_name,id
-75.456963,40.152593,137176,jh,Cyclical Count Program Year 2,2017/09/22 00:00:00+00,2017,4209179256,,perkiomen trail,both,cider mill rd,arcola rd,Bicycle 2,40.152593,-75.456963,,1.02,S,N,181,Cyclical,Recreation,Multiuse Trail,Montgomery,Upper Providence Township,98662
-75.457303,40.11958,137177,jh,Cyclical Count Program Year 2,2017/09/22 00:00:00+00,2017,4209179256,,schuylkill river trail,both,west of perkiomen trail,west of perkiomen trail,Bicycle 2,40.11958,-75.457303,,1.02,W,E,510,Cyclical,Mixed,Multiuse Trail,Montgomery,Upper Providence Township,98663
-75.283854,40.173331,137178,jh,Cyclical Count Program Year 2,2017/10/06 00:00:00+00,2017,4209184888,202,dekalb pk northbound lanes,north,blue bell springs dr,tournament dr,Bicycle 2,40.173331,-75.283854,,1.02,S,N,3,Cyclical,Low Volume,Striped Shoulder,Montgomery,Whitpain Township,98664
-75.284021,40.173346,137179,jh,Cyclical Count Program Year 2,2017/10/06 00:00:00+00,2017,4209184888,202,dekalb pk southbound lanes,south,blue bell springs dr,tournament dr,Bicycle 2,40.173346,-75.284021,,1.02,N,S,5,Cyclical,Low Volume,Striped Shoulder,Montgomery,Whitpain Township,98665
-75.6496396,40.24555823,137180,jh,Cyclical Count Program Year 2,2017/09/22 00:00:00+00,2017,4209162416,,e high st northbound lanes,north,penn st,hanover st,Bicycle 2,40.24555823,-75.6496396,,1.02,S,N,66,Cyclical,Mixed,Bike Lane,Montgomery,Pottstown Borough,98666
-75.6496396,40.24555823,137181,jh,Cyclical Count Program Year 2,2017/09/22 00:00:00+00,2017,4209162416,,e high st southbound lanes,south,penn st,hanover st,Bicycle 2,40.24555823,-75.6496396,,1.02,N,S,45,Cyclical,Mixed,Bike Lane,Montgomery,Pottstown Borough,98667
-75.074172,40.105827,137182,jh,Cyclical Count Program Year 2,2017/10/11 00:00:00+00,2017,4209100156,,pennypack trail,both,north of moredon rd,north of moredon rd,Bicycle 2,40.105827,-75.074172,,1.02,N,S,316,Cyclical,Mixed,Multiuse Trail,Montgomery,Abington Township,98668
-75.1288507,40.11860506,137185,jh,Cyclical Count Program Year 2,2017/10/03 00:00:00+00,2017,4209100156,,susquehanna rd northbound lanes,north,cumberland rd,arbuta rd,Bicycle 2,40.11860506,-75.1288507,,1.02,S,N,8,Cyclical,Low Volume,Striped Shoulder,Montgomery,Abington Township,98669
-75.1288507,40.11860506,137186,jh,Cyclical Count Program Year 2,2017/10/03 00:00:00+00,2017,4209100156,,susquehanna rd southbound lanes,south,cumberland rd,arbuta rd,Bicycle 2,40.11860506,-75.1288507,,1.02,N,S,20,Cyclical,Low Volume,Striped Shoulder,Montgomery,Abington Township,98670
-75.11195,40.108124,137187,jh,Cyclical Count Program Year 2,2017/10/03 00:00:00+00,2017,4209100156,,rydal rd eastbound lanes,east,the fairway,susquehanna rd,Bicycle 2,40.108124,-75.11195,,1.02,W,E,14,Cyclical,Low Volume,Sharrow,Montgomery,Abington Township,98671
-75.11203,40.10822,137188,jh,Cyclical Count Program Year 2,2017/10/03 00:00:00+00,2017,4209100156,,rydal rd westbound lanes,west,the fairway,susquehanna rd,Bicycle 2,40.10822,-75.11203,,1.02,E,W,11,Cyclical,Low Volume,Sharrow,Montgomery,Abington Township,98672
-75.33031341,40.2538060100001,137189,jh,Cyclical Count Program Year 2,2017/09/26 00:00:00+00,2017,4209177152,63,forty foot rd eastbound lanes,east,morgandale dr,heebner way,Bicycle 2,40.25380601,-75.33031341,,1.02,W,E,4,Cyclical,Low Volume,Bike Lane,Montgomery,Towamencin Township,98673
-75.330407,40.253839,137190,jh,Cyclical Count Program Year 2,2017/09/26 00:00:00+00,2017,4209177152,63,forty foot rd westbound lanes,west,morgandale dr,heebner way,Bicycle 2,40.253839,-75.330407,,,E,W,1,Cyclical,Low Volume,Bike Lane,Montgomery,Towamencin Township,98674
-74.894705,39.80765,136884,jh,Cyclical Count Program  Year 2,2017/08/02 00:00:00+00,2017,3400522110,,kettle run rd southbound lanes,south,brookfield ave,pine terrace,Bicycle 2,39.80765,-74.894705,,1.02,N,S,6,Cyclical,Low Volume,Mixed Traffic,Burlington,Evesham Township,98712
-74.915265,39.889828,136887,jh,Cyclical Count Program  Year 2,2017/07/26 00:00:00+00,2017,3400522110,620,e main st eastbound lanes,east,evesham ave,plymouth dr,Bicycle 2,39.889828,-74.915265,,1.02,W,E,8,Cyclical,Low Volume,Striped Shoulder,Burlington,Evesham Township,98713
-75.28551842,40.24262701,137191,jh,Cyclical Count Program Year 2,2017/09/26 00:00:00+00,2017,4209141432,63,main st eastbound lanes,east,madison st / green st,railroad st,Bicycle 2,40.24262701,-75.28551842,,1.02,W,E,29,Cyclical,Mixed,Mixed Traffic,Montgomery,Lansdale Borough,98733
-75.28551842,40.24262701,137192,jh,Cyclical Count Program Year 2,2017/09/26 00:00:00+00,2017,4209141432,63,main st westbound lanes,west,madison st / green st,railroad st,Bicycle 2,40.24262701,-75.28551842,,1.02,E,W,34,Cyclical,Mixed,Mixed Traffic,Montgomery,Lansdale Borough,98734
-75.18487458,40.1517642,137193,jh,Cyclical Count Program Year 2,2017/10/05 00:00:00+00,2017,4209179008,,susquehanna rd northbound lanes,north,pinetown rd / broad st,dillon rd,Bicycle 2,40.1517642,-75.18487458,,1.02,S,N,9,Cyclical,Low Volume,Bike Lane,Montgomery,Upper Dublin Township,98735
-75.18487458,40.1517642,137194,jh,Cyclical Count Program Year 2,2017/10/05 00:00:00+00,2017,4209179008,,susquehanna rd southbound lanes,south,pinetown rd / broad st,dillon rd,Bicycle 2,40.1517642,-75.18487458,,1.02,N,S,11,Cyclical,Low Volume,Bike Lane,Montgomery,Upper Dublin Township,98736
-75.454753,40.116928,137025,permanent station,,2016/10/15 00:00:00+00,2016,4209145080,,schuylkill river trail,both,pawlings rd overpass,trail spur to trail parking lot,Bicycle 3,40.116928,-75.454753,,1,E,W,688,Permanent,Recreation,Multiuse Trail,Montgomery,Lower Providence Township,98830
-75.454753,40.116928,137026,permanent station,,2016/11/15 00:00:00+00,2016,4209145080,,schuylkill river trail,both,pawlings rd overpass,trail spur to trail parking lot,Bicycle 3,40.116928,-75.454753,,1,E,W,603,Permanent,Recreation,Multiuse Trail,Montgomery,Lower Providence Township,98831
-75.454753,40.116928,137027,permanent station,,2016/12/15 00:00:00+00,2016,4209145080,,schuylkill river trail,both,pawlings rd overpass,trail spur to trail parking lot,Bicycle 3,40.116928,-75.454753,,1,E,W,99,Permanent,Recreation,Multiuse Trail,Montgomery,Lower Providence Township,98832
-75.298826,40.368908,111965,jh,Seasonal factor are calculated from 2015 permanent station data.   Cyclical Count Program  Baseline Year,2014/08/01 00:00:00+00,2014,4201759384,,w park ave northbound lanes,north,s 3rd st,s 4th st,Bicycle 2,40.368908,-75.298826,0.888,1.02,S,N,5,Cyclical,Low Volume,Mixed Traffic,Bucks,Perkasie Borough,98922
-74.927758,40.076315,129788,jh,Cyclical Count Program  Year 1,2016/08/22 00:00:00+00,2016,4201705616,,state rd northbound lanes,north,street rd,olney ave,Bicycle 2,40.076315,-74.927758,,1.02,S,N,8,Cyclical,Low Volume,Mixed Traffic,Bucks,Bensalem Township,98923
-75.242645,39.829683,129821,jh,Cyclical Count Program  Year 1,2017/04/21 00:00:00+00,2017,3401557150,44,broad st southbound lanes,south,pine st,spruce st,Bicycle 2,39.829683,-75.242645,,1.02,N,S,45,Cyclical,Recreation,Mixed Traffic,Gloucester,Paulsboro Borough,98924
-75.200778,39.975891,130850,jh,"City of Philadelphia:  Philly Free Streets program,  Saturday September 24, 2016  8:00 a.m. - 1 p.m.",2016/09/22 00:00:00+00,2016,4210160106,,lansdowne dr eastbound lanes,east,concourse dr,sweetbriar cutoff,Bicycle 2,39.975891,-75.200778,,1.02,W,E,30,Spec. Event,Mixed,Mixed Traffic,Philadelphia,West Park,98926
-75.454753,40.116928,129555,permanent station,,2016/05/15 00:00:00+00,2016,4209145080,,schuylkill river trail,both,pawlings rd overpass,trail spur to trail parking lot,Bicycle 3,40.116928,-75.454753,0.962,1,E,W,716,Permanent,Recreation,Multiuse Trail,Montgomery,Lower Providence Township,98927
-75.555832,40.048963,129660,permanent station,,2015/12/15 00:00:00+00,2015,4202922056,,chester valley trail,,church rd,mill la,Bicycle 3,40.048963,-75.555832,1.028,1,W,E,46,Permanent,Mixed,Multiuse Trail,Chester,East Whiteland Township,98928
-75.064999,39.913579,137265,jh,Cyclical Count Program Year 2,2017/10/28 00:00:00+00,2017,3400714260,,atlantic ave eastbound lanes,east,billison ave,coolidge ave,Bicycle 2,39.913579,-75.064999,,1.02,W,E,34,Cyclical,Low Volume,Mixed Traffic,Camden,Collingswood Borough,98946
-75.065028,39.91361,137266,jh,Cyclical Count Program Year 2,2017/10/28 00:00:00+00,2017,3400714260,,atlantic ave westbound lanes,west,billison ave,coolidge ave,Bicycle 2,39.91361,-75.065028,,1.02,E,W,48,Cyclical,Low Volume,Mixed Traffic,Camden,Collingswood Borough,98947
-75.106824,39.927872,137267,jh,,2017/10/20 00:00:00+00,2017,3400710000,605,mt ephraim ave northbound lanes,north,everett st,whitman ave,Bicycle 2,39.927872,-75.106824,,1.02,S,N,109,Cyclical,Mixed,Mixed Traffic,Camden,Camden City,98948
-75.106894,39.927864,137268,jh,,2017/10/20 00:00:00+00,2017,3400710000,605,mt ephraim ave southbound lanes,south,everett st,whitman ave,Bicycle 2,39.927864,-75.106894,,1.02,N,S,101,Cyclical,Mixed,Mixed Traffic,Camden,Camden City,98949
