"CRN","DISTRICT","COUNTY","MUNICIPALITY","POLICE_AGCY","CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","TIME_OF_DAY","HOUR_OF_DAY","ILLUMINATION","WEATHER","ROAD_CONDITION","COLLISION_TYPE","RELATION_TO_ROAD","WORK_ZONE_TYPE","WORK_ZONE_LOC","WORK_ZONE_IND","INTERSECT_TYPE","TCD_TYPE","LOCATION_TYPE","URBAN_RURAL","FATAL_COUNT","INJURY_COUNT","PERSON_COUNT","TOTAL_UNITS","SCH_BUS_IND","SCH_ZONE_IND","LATITUDE","LONGITUDE","ARRIVAL_TM","CONS_ZONE_SPD_LIM","DISPATCH_TM","EST_HRS_CLOSED","LANE_CLOSED","LN_CLOSE_DIR","NTFY_HIWY_MAINT","SPEC_JURIS_CD","TCD_FUNC_CD","TFC_DETOUR_IND","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","VEHICLE_COUNT","AUTOMOBILE_COUNT","MOTORCYCLE_COUNT","BUS_COUNT","SMALL_TRUCK_COUNT","HEAVY_TRUCK_COUNT","SUV_COUNT","VAN_COUNT","BICYCLE_COUNT","MAJ_INJ_COUNT","MOD_INJ_COUNT","MIN_INJ_COUNT","TOT_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_MAJ_INJ_COUNT","BELTED_DEATH_COUNT","BELTED_MAJ_INJ_COUNT","MCYCLE_DEATH_COUNT","MCYCLE_MAJ_INJ_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_MAJ_INJ_COUNT","PED_COUNT","PED_DEATH_COUNT","PED_MAJ_INJ_COUNT","MAX_SEVERITY_LEVEL","COMM_VEH_COUNT","DEC_LAT","DEC_LONG","RDWY_SURF_TYPE_CD","COUNTY_YEAR"
"2001207369","06","67","67301","67301","2001","01","5","1833","18","3","1","0","8","1","","","N","00","0","07","3","0","2","2","2","N","N","","","9999","","9999","","0","","N","","0 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","","","","CRASH_2001_Philadelphia"
"2001210873","06","67","67301","67301","2001","01","3","0700","07","5","2","1","4","1","","","N","01","3","00","3","0","1","3","2","Y","N","","","9999","","9999","","0","","N","","3 ","","","","","","","","","","2","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","","","","CRASH_2001_Philadelphia"
"2001231568","06","67","67301","67301","2001","03","1","0911","09","1","3","1","4","1","","","N","02","9","00","3","0","1","2","2","N","N","39 58:49.576","75 05:20.303","9999","","9999","","0","","N","","9 ","","","","","","","","","","2","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","39.9804","-75.089","","CRASH_2001_Philadelphia"
"2001238179","06","67","67301","67301","2001","04","5","2215","22","3","1","0","7","5","","","N","00","0","00","3","0","0","1","1","N","N","","","9999","","9999","","0","","N","","0 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","CRASH_2001_Philadelphia"
"2001243322","06","67","67301","67301","2001","04","5","1320","13","1","1","0","8","1","","","N","00","0","00","3","0","1","2","2","N","N","","","9999","","9999","","0","","N","","0 ","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","","","","CRASH_2001_Philadelphia"
"2001007428","06","67","67301","67301","2001","05","4","2110","21","3","1","0","1","7","","","N","06","4","02","3","0","1","3","2","N","N","39 56:42.720","75 11:24.720","2120","","2111","1","1","4","N","","2 ","N","","","","","","","","","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","39.9454","-75.1904","","CRASH_2001_Philadelphia"
"2001018229","06","67","67301","67301","2001","06","5","1400","14","1","1","0","1","1","","","N","01","2","00","3","0","2","3","2","N","N","39 59:39.378","75 06:40.831","1325","","1315","","9","","N","","9 ","U","","","","","","","","","2","2","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","39.9943","-75.1113","","CRASH_2001_Philadelphia"
"2001207557","06","67","67301","67301","2001","01","1","2159","21","3","1","0","4","1","","","N","01","2","00","3","0","2","2","2","N","N","40 03:54.720","75 10:05.160","9999","","9999","","0","","N","","3 ","","","","","","","","","","2","2","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","40.0652","-75.1681","","CRASH_2001_Philadelphia"
"2001209139","06","67","67301","67301","2001","02","2","1227","12","1","4","3","7","5","","","N","03","3","00","3","0","0","2","1","N","N","40 01:39.115","75 13:16.564","9999","","9999","","0","","N","","3 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.0275","-75.2213","","CRASH_2001_Philadelphia"
"2001210727","06","67","67301","67301","2001","02","7","1944","19","3","1","0","8","1","","","N","01","2","00","3","0","1","3","2","N","N","39 57:00.360","75 10:14.160","9999","","9999","","0","","N","","3 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","39.9501","-75.1706","","CRASH_2001_Philadelphia"
