"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"67","2018","2018013720","3 ","1693","N","3","1","0095","0214","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013722","3 ","920","E","3","1","0676","0002","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018013754","06","","N","3","4","","","35","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018014046","01","","E","4","4","","","25","WALT WHITMAN RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018014046","03","","E","3","4","","","45","WALT WHITMAN BR","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018014174","01","","E","4","4","","","25","WALT WHITMAN RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018014174","01","","E","3","4","","","25","WALT WHITMAN RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018014304","3 ","1732","S","3","1","0095","0265","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018014399","2 ","5326","W","3","1","0076","3445","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018014637","2 ","648","N","3","2","0001","0060","35","CITY AV","ROADWAY_2018_Philadelphia","46104"
"67","2018","2018014637","2 ","656","S","4","2","0001","0061","35","CITY AV","ROADWAY_2018_Philadelphia","46104"
"67","2018","2018014642","2 ","0","S","4","2","0001","0031","35","CITY AV","ROADWAY_2018_Philadelphia","46104"
"67","2018","2018014642","2 ","0","E","5","2","0030","0010","30","LANCASTER AV","ROADWAY_2018_Philadelphia","46104"
"67","2018","2018014642","2 ","0","N","3","2","0001","0030","35","CITY AV","ROADWAY_2018_Philadelphia","46104"
"67","2018","2018014646","3 ","0","S","4","2","0001","0081","35","CITY AV","ROADWAY_2018_Philadelphia","46104"
"67","2018","2018014646","04","","W","5","4","","","25","PRESIDENTIAL BL","ROADWAY_2018_Philadelphia","46104"
"67","2018","2018014646","2 ","0","N","3","2","0001","0080","35","CITY AV","ROADWAY_2018_Philadelphia","46104"
"67","2018","2018014756","2 ","614","W","3","1","0076","3445","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018014765","2 ","3657","W","3","1","0076","3445","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018014779","4 ","2372","E","3","1","0076","3400","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
